V1,V2,V3
0,1,1
0.010101,1,1
0.020202,1,1
0.030303,1,1
0.040404,1,1
0.050505,1,1
0.060606,1,1
0.070707,1,1
0.080808,1,1
0.090909,1,1
0.10101,1,1
0.111111,1,1
0.121212,1,1
0.131313,1,1
0.141414,1,1
0.151515,1,1
0.161616,1,1
0.171717,1,1
0.181818,1,0.99
0.191919,1,0.98
0.20202,1,0.99
0.212121,1,1
0.222222,1,0.98
0.232323,1,0.99
0.242424,1,0.96
0.252525,1,0.97
0.262626,1,0.98
0.272727,1,0.93
0.282828,1,0.97
0.292929,1,0.94
0.30303,1,0.93
0.313131,1,0.96
0.323232,1,0.91
0.333333,1,0.9
0.343434,1,0.91
0.353535,1,0.86
0.363636,1,0.88
0.373737,1,0.86
0.383838,1,0.8
0.393939,1,0.84
0.40404,1,0.68
0.414141,1,0.82
0.424242,1,0.77
0.434343,1,0.75
0.444444,1,0.75
0.454545,1,0.75
0.464646,1,0.71
0.474747,1,0.71
0.484848,1,0.54
0.494949,1,0.68
0.505051,1,0.64
0.515152,1,0.57
0.525253,1,0.63
0.535354,1,0.46
0.545455,1,0.45
0.555556,1,0.53
0.565657,1,0.47
0.575758,1,0.45
0.585859,1,0.43
0.59596,1,0.36
0.606061,1,0.4
0.616162,1,0.36
0.626263,1,0.33
0.636364,1,0.29
0.646465,1,0.28
0.656566,1,0.24
0.666667,1,0.31
0.676768,1,0.2
0.686869,0.99,0.23
0.69697,0.99,0.25
0.707071,1,0.21
0.717172,0.99,0.21
0.727273,0.99,0.21
0.737374,0.98,0.16
0.747475,0.98,0.12
0.757576,0.93,0.17
0.767677,0.95,0.09
0.777778,0.97,0.11
0.787879,0.9,0.07
0.79798,0.92,0.15
0.808081,0.85,0.1
0.818182,0.74,0.08
0.828283,0.77,0.05
0.838384,0.67,0.04
0.848485,0.62,0.1
0.858586,0.57,0.05
0.868687,0.55,0.03
0.878788,0.44,0.08
0.888889,0.43,0.05
0.89899,0.34,0.03
0.909091,0.22,0.02
0.919192,0.19,0.03
0.929293,0.17,0.06
0.939394,0.14,0.06
0.949495,0.1,0.03
0.959596,0.09,0.02
0.969697,0.07,0.07
0.979798,0.05,0.08
0.989899,0.02,0.05
1,0.06,0.02
