Relative susceptibility,IgG_neg NP_pos high,IgG_pos NP_pos high,IgG_neg NP_pos low,IgG_pos NP_pos low
0.000000,0.168254,0.000000,0.013178,0.000000
0.010101,0.168254,0.001828,0.013178,0.000134
0.020202,0.168254,0.003652,0.013178,0.000268
0.030303,0.168254,0.005475,0.013178,0.000401
0.040404,0.168254,0.007294,0.013178,0.000535
0.050505,0.168254,0.009111,0.013178,0.000669
0.060606,0.168254,0.010925,0.013178,0.000803
0.070707,0.168254,0.012736,0.013178,0.000936
0.080808,0.168254,0.014545,0.013178,0.001070
0.090909,0.168254,0.016351,0.013178,0.001204
0.101010,0.168254,0.018154,0.013178,0.001337
0.111111,0.168254,0.019955,0.013178,0.001471
0.121212,0.168254,0.021752,0.013178,0.001605
0.131313,0.168254,0.023548,0.013178,0.001738
0.141414,0.168254,0.025340,0.013178,0.001872
0.151515,0.168254,0.027130,0.013178,0.002005
0.161616,0.168254,0.028917,0.013178,0.002139
0.171717,0.168254,0.030702,0.013178,0.002273
0.181818,0.168254,0.032484,0.013178,0.002406
0.191919,0.168254,0.034263,0.013178,0.002540
0.202020,0.168254,0.036040,0.013178,0.002673
0.212121,0.168254,0.037814,0.013178,0.002807
0.222222,0.168254,0.039585,0.013178,0.002940
0.232323,0.168254,0.041353,0.013178,0.003074
0.242424,0.168254,0.043119,0.013178,0.003207
0.252525,0.168254,0.044883,0.013178,0.003341
0.262626,0.168254,0.046643,0.013178,0.003474
0.272727,0.168254,0.048402,0.013178,0.003608
0.282828,0.168254,0.050157,0.013178,0.003741
0.292929,0.168254,0.051910,0.013178,0.003874
0.303030,0.168254,0.053660,0.013178,0.004008
0.313131,0.168254,0.055407,0.013178,0.004141
0.323232,0.168254,0.057152,0.013178,0.004275
0.333333,0.168254,0.058895,0.013178,0.004408
0.343434,0.168254,0.060634,0.013178,0.004541
0.353535,0.168254,0.062372,0.013178,0.004675
0.363636,0.168254,0.064106,0.013178,0.004808
0.373737,0.168254,0.065838,0.013178,0.004941
0.383838,0.168254,0.067567,0.013178,0.005074
0.393939,0.168254,0.069294,0.013178,0.005208
0.404040,0.168254,0.071018,0.013178,0.005341
0.414141,0.168254,0.072740,0.013178,0.005474
0.424242,0.168254,0.074458,0.013178,0.005607
0.434343,0.168254,0.076175,0.013178,0.005741
0.444444,0.168254,0.077889,0.013178,0.005874
0.454545,0.168254,0.079600,0.013178,0.006007
0.464646,0.168254,0.081308,0.013178,0.006140
0.474747,0.168254,0.083014,0.013178,0.006273
0.484848,0.168254,0.084718,0.013178,0.006407
0.494949,0.168254,0.086419,0.013178,0.006540
0.505051,0.168254,0.088117,0.013178,0.006673
0.515152,0.168254,0.089813,0.013178,0.006806
0.525253,0.168254,0.091506,0.013178,0.006939
0.535354,0.168254,0.093197,0.013178,0.007072
0.545455,0.168254,0.094885,0.013178,0.007205
0.555556,0.168254,0.096570,0.013178,0.007338
0.565657,0.168254,0.098253,0.013178,0.007471
0.575758,0.168254,0.099934,0.013178,0.007604
0.585859,0.168254,0.101612,0.013178,0.007737
0.595960,0.168254,0.103287,0.013178,0.007870
0.606061,0.168254,0.104960,0.013178,0.008003
0.616162,0.168254,0.106630,0.013178,0.008136
0.626263,0.168254,0.108298,0.013178,0.008269
0.636364,0.168254,0.109963,0.013178,0.008402
0.646465,0.168254,0.111626,0.013178,0.008535
0.656566,0.168254,0.113286,0.013178,0.008668
0.666667,0.168254,0.114944,0.013178,0.008801
0.676768,0.168254,0.116599,0.013178,0.008934
0.686869,0.168254,0.118251,0.013178,0.009066
0.696970,0.168254,0.119902,0.013178,0.009199
0.707071,0.168254,0.121549,0.013178,0.009332
0.717172,0.168254,0.123194,0.013178,0.009465
0.727273,0.168254,0.124837,0.013178,0.009598
0.737374,0.168254,0.126477,0.013178,0.009731
0.747475,0.168254,0.128115,0.013178,0.009863
0.757576,0.168254,0.129750,0.013178,0.009996
0.767677,0.168254,0.131383,0.013178,0.010129
0.777778,0.168254,0.133013,0.013178,0.010262
0.787879,0.168254,0.134641,0.013178,0.010394
0.797980,0.168254,0.136266,0.013178,0.010527
0.808081,0.168254,0.137889,0.013178,0.010660
0.818182,0.168254,0.139509,0.013178,0.010792
0.828283,0.168254,0.141127,0.013178,0.010925
0.838384,0.168254,0.142742,0.013178,0.011058
0.848485,0.168254,0.144355,0.013178,0.011190
0.858586,0.168254,0.145965,0.013178,0.011323
0.868687,0.168254,0.147573,0.013178,0.011456
0.878788,0.168254,0.149179,0.013178,0.011588
0.888889,0.168254,0.150782,0.013178,0.011721
0.898990,0.168254,0.152382,0.013178,0.011853
0.909091,0.168254,0.153981,0.013178,0.011986
0.919192,0.168254,0.155576,0.013178,0.012118
0.929293,0.168254,0.157170,0.013178,0.012251
0.939394,0.168254,0.158760,0.013178,0.012384
0.949495,0.168254,0.160349,0.013178,0.012516
0.959596,0.168254,0.161935,0.013178,0.012649
0.969697,0.168254,0.163518,0.013178,0.012781
0.979798,0.168254,0.165099,0.013178,0.012913
0.989899,0.168254,0.166678,0.013178,0.013046
1.000000,0.168254,0.168254,0.013178,0.013178
